CSS_ContractRefNo|ProgrammeName|CSSName|DWP_Description|DWP_DueDate|DWP_SuccessCriteria|DWP_HowManyRecords|DWP_HowManyRecordsExempt|DWP_HowManyRecordsNotes|CSS_SortOrder
CSS11|Pioneer London|Pioneer London  -  CSS11|80% of engaged participants will complete a Mock Interview.|90 working days from Start Date. Inclusion Criteria  = everyone with a start date.|An Activity with the Activity Type containing the phrase "mock" has a Completed Date within the timeframe specified, and the Activity Status is not "Partially Completed" or "Not Started". Alternative success criteria = if you have an appointment with activity type containing "Mock" booked, but the status of that appointment was DNA, then count as success.|One - success for this CSS is only measured once per Referral. The record will appear in the month that the CSS was due rather than the month the action was completed.|HOW TO EXCLUDE DISENGAGED, IN WORK ETC.?||80011
CSS8|Pioneer London|Pioneer London  -  CSS8|All engaged participants will have a CV review. A tolerance of 5% will be applied.|Projected Programme Leave Date. Inclusion Criteria - Everyone with a start date.|A document in the CV folder (against the Person) or the "Miscellaneous" folder (against the Contract) containing the phrase "CV" or "Curriculum Vitae" has been uploaded within the timeframe specified. Other success criteria - did the CV get offered but got turned down? Booked an appointment regarding "CV Review" and it gets DNA, then still count as success as the service was offered but declined. Target achievment rate for this metric - 95%|One - success for this CSS is only measured once per Referral. The record will appear in the month that the CSS was due rather than the month the action was completed.|Exclude Disengaged if Disengaged all the way up to Projected Leave Date.|Where a Participant leaves the programme, that period should be marked as compliant, and no further periods should be generated. Rather than Programme Leave Date, the Completed Date of the "Exit Review" Activity should be used. Where a Participant Disengages, the CSS instance should be excluded from the report. Once the Participant Re-engages, that triggers the next 28 due date. The same applies to being In Work (verified jobs only) - based on Job Start Date and Job Leave Date (if present).|80008
CSS13|Pioneer London|Pioneer London  -  CSS13|50% of engaged participants will be offered an MPS Sector Routeway Course.|Before projected leave date.|An appointment needs to be booked with the type "MPS Sector Routeway", doesnt matter what outcome. "OPS to investigate which type of activity that is.". Inclusion criteria = everyone with a start date. Target = 60%|One - success for this CSS is only measured once per Referral. The record will appear in the month that the CSS was due rather than the month the action was completed.|HOW TO EXCLUDE DISENGAGED, IN WORK ETC.?||80013
CSS1|Pioneer London|Pioneer London  -  CSS1|All referrals will have contact attempted within 2 working days of receiving a referral.  A tolerance of 5% will be applied.|PRaP Referral Date + 2 working days. PRaP Referral Date is "day zero" and the count should begin the following working day.|Earliest Communication Tracking record of any kind has a "Date of Contact" within the timeframe specified.|One - success for this CSS is only measured once per Referral. The record will appear in the month that the CSS was due rather than the month the action was completed.|None.||80001
CSS5|Pioneer London|Pioneer London  -  CSS5|The engaged caseload size shall not exceed 65 at any time.|Caseload as at every day - one line per day for each advisor. |Count of live cases grouped by advisor <= 65, Inclusion Criteria = All advisors.|One|Just "Disengaged" Barrier should be excluded. Caseload is only people with Start Date and without Programme Leave Date.||80005
CSS2|Pioneer London|Pioneer London  -  CSS2|All initial meetings with referrals will occur within 15 working days of referral being made.  A tolerance of 5% will be applied.|PRaP Referral Date + 15 working days. PRaP Referral Date is "day zero" and the count should begin the following working day.|Earliest Activity Completed Date of an "Welcome Meeting" Activity, under an "Initial Appointment" Barrier, is within the timeframe specified.|One - success for this CSS is only measured once per Referral. The record will appear in the month that the CSS was due rather than the month the action was completed.|None.||80002
CSS6|Pioneer London|Pioneer London  -  CSS6|All engaged participants will be contacted at a minimum of every 10 days to discuss their wellbeing and job goals. Failed contact attempts should be documented. A tolerance of 5% will be applied.|10 working days from Start Date (Start Date itself being day 0) and then 10 working days after each Activity Completed Date (results in a new CSS case due 10 working days in the future for each distinct day that an applicable Activity occurs). - Need to agree exact Activity Types and/or Barriers that would count, and Activity Status e.g. Not Started, Cancelled etc. Doesnt matter what activity types/barriers. Prerequisite for starting this CSS timer - Enhanced Work Readiness Assessment completed. End Criteria - left programme date is not blank. Disengaged Date/Status - stop the count. If barrier = "disengaged" then exclude from all CSSs. If people return to the programme, changing the barrier status from disengaged  to live will restart the count. Tailored Engagement - continue as normal, but include option for end users to filter cases with "tailored engagement" status out if needed.|Last correspondence date falls within 10 working days from the previous due date.|One or many - depending on how many Activities the Participant has booked. Each record will appear in the month that the instance of the CSS was due rather than the month the action was completed.|Just "Disengaged" Barrier should be excluded. Only Contract Entrants should be considered.|Where a Participant leaves the programme, that period should be marked as compliant, and no further periods should be generated. Rather than Programme Leave Date, the Completed Date of the "Exit Review" Activity should be used. Where a Participant Disengages, the CSS instance should be excluded from the report. Once the Participant Re-engages, that triggers the next 10 WD due date. The same applies to being In Work (verified jobs only) - based on Job Start Date and Job Leave Date (if present).|80006
CSS17|Pioneer London|Pioneer London  -  CSS17|60% of engaged participants will report an improved health and wellbeing outcome from their participation on the programme (from start to completion).|Before Programme Leave Date|Current based on the overall Distance Travelled score increasing from the earliest to the final recorded score. Previous score on stored under "distance travelled". I.e. previous score  minus latest score is positive. Inclusion criteria is everyone with a start date and a leave date. Target = 60%|One - success for this CSS is only measured once per Referral. The record will appear in the month that the CSS was due rather than the month the action was completed.|HOW TO EXCLUDE DISENGAGED?||80017
CSS12|Pioneer London|Pioneer London  -  CSS12|60% of engaged participants will have an onward referral made to an external service to meet needs identified in the BPSA and Action Plan. (External services can include health & wellbeing services, statutory services, charity services, other providers of support services).|Before projected leave date is reached.|A CPN Referral Date must have been made within the timeframe specified. Inclusion Criteria = everyone with a start date. Target set at 60%|One - success for this CSS is only measured once per Referral. The record will appear in the month that the CSS was due rather than the month the action was completed.|HOW TO EXCLUDE DISENGAGED, IN WORK ETC.? AND HOW TO DECIDE WHO SHOULD HAVE HAD A CPN REFERRAL?||80012
CSS9|Pioneer London|Pioneer London  -  CSS9|All participants will be offered a Better Of Calculation. A 5% tolerance will be applied.|30 working days from Start Date.|An Activity with either the Activity Type "BOC", "Better Off In Work Calculation" or "Start - Better Off In Work Calculation", or any Activity against the Barrier "BOC" or "Better Off In Work Calculation" has a Due Date within the timeframe specified. Alternative SC = Booked appointment with "DNA" as a result for activity type of "BOC", "Better Off In Work Calculation" or "Start - Better Off In Work Calculation", or any Activity against the Barrier "BOC" or "Better Off In Work Calculation" has a Due Date within the timeframe specified. Inclusion criteria = everyone.  Target level - 95%|One - success for this CSS is only measured once per Referral. The record will appear in the month that the CSS was due rather than the month the action was completed.|HOW TO EXCLUDE DISENGAGED, IN WORK ETC.?||80009
CSS15|Pioneer London|Pioneer London  -  CSS15|All participants who secure employment or self employment will be offered a transition in to work review with in work support plan. A tolerance of 15% will be applied.|10 working days from first job start date. Inclusion Criteria = Everyone with a Start date, but with status of live (not disengaged).|An Activity with the Activity Type "Transition to Work Review" is either completed or booked but "DNA". Target = 85%|One - success for this CSS is only measured once per Referral. The record will appear in the month that the CSS was due rather than the month the action was completed.|||80015
CSS16|Pioneer London|Pioneer London  -  CSS16|All participants will be offered contact a minimum of monthly.  The frequency should be agreed with the participants before they commence employment or self employment. A tolerance of 5% will be applied.|30 calendar days from Job Start Date (Job Start Date itself being day 0) and then 30 calendar days after each Activity Due Date (results in a new CSS case due 30 calendar days in the future for each distinct Activity Due Date).|Any  Activity type of "in work support action plan" completed date  is within the respective due date specified. Inclusion criteria = everyone with a job start date that is currently live and not disengaged or have left programme. Stop criteria = Left programme date is not blank. Target is 95%|One or many - depending on how long the Participant is in work. Each record will appear in the month that the instance of the CSS was due rather than the month the action was completed.|WHAT HAPPENS WHEN SOMEONE FALLS OUT OF WORK? DO WE EXCLUDE DISENGAGED?||80016
CSS3|Pioneer London|Pioneer London  -  CSS3|All participants will be offered a Biopsychosocial Initial Screening Assessment (BPSA) within 20 working days of referral. A 15% tolerance will be applied.|PRaP Referral Date + 20 working days. PRaP Referral Date is "day zero" and the count should begin the following working day.|Earliest Activity Completed Date of an "BPSA Assessment" Activity, under an "BPSA Assessment" Barrier, is within the timeframe specified.|One - success for this CSS is only measured once per Referral. The record will appear in the month that the CSS was due rather than the month the action was completed.|DNS not included.||80003
CSS7|Pioneer London|Pioneer London  -  CSS7|All action plan reviews should take place at a frequency agreed between the participant and advisor, they should be no less than every 2 months. A tolerance of 15% will be applied, where a planned review could not take place the reasons should be documented.|28 calendar days from Start Date (Start Date itself being day 0) and then 28 calendar days after each Action Plan upload date (results in a new CSS case due 28 calendar days in the future for each distinct day that an AP is uploaded).|A document containing the phrase "Action Plan" or "AP" (with spaces either side) is uploaded within the timeframe specified.|One or many - depending on how many Action Plans have been uploaded. Each record will appear in the month that the instance of the CSS was due rather than the month the action was completed.|Just "Disengaged" Barrier should be excluded. Only Contract Entrants should be considered. Exclude In Work.|Where a Participant leaves the programme, that period should be marked as compliant, and no further periods should be generated. Rather than Programme Leave Date, the Completed Date of the "Exit Review" Activity should be used. Where a Participant Disengages, the CSS instance should be excluded from the report. Once the Participant Re-engages, that triggers the next 28 due date. The same applies to being In Work (verified jobs only) - based on Job Start Date and Job Leave Date (if present).|80007
CSS4|Pioneer London|Pioneer London  -  CSS4|All participants will be supported to explore ambitions, goals, priorities and personal needs to form their action plan. Detailed action plans should be completed within 20 working days of receiving the referral.  A tolerance of 15% will be applied.|PRaP Referral Date + 20 working days. PRaP Referral Date is "day zero" and the count should begin the following working day.|Earliest file uploaded to Document Library where the filename or description contains the phrase "Initial Action Plan" within the timeframe specified.|One - success for this CSS is only measured once per Referral. The record will appear in the month that the CSS was due rather than the month the action was completed.|DNS not included.||80004
